Format Version,1.23,Take Name,Take 2024-04-18 09.52.19 AM_001,Take Notes,,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2024-04-18 09.55.24.539 AM,Capture Start Frame,4710452,Total Frames in Take,4242,Total Exported Frames,4242,Rotation Type,XYZ,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker
,Name,Drone_Marker:Label,Drone_Marker:Label,Drone_Marker:Label
,ID,"2C1C5CDEFD5A11EEF196A13ACAB88A83","2C1C5CDEFD5A11EEF196A13ACAB88A83","2C1C5CDEFD5A11EEF196A13ACAB88A83"
,,Position,Position,Position
Frame,Time (Seconds),X,Y,Z
0,0.000000,-0.235818,0.023268,-1.016766
1,0.010000,-0.235837,0.023261,-1.016755
2,0.020000,-0.235841,0.023230,-1.016793
3,0.030000,-0.235823,0.023285,-1.016737
4,0.040000,-0.235822,0.023323,-1.016698
5,0.050000,-0.235833,0.023215,-1.016768
6,0.060000,-0.235837,0.023252,-1.016791
7,0.070000,-0.235828,0.023232,-1.016774
8,0.080000,-0.235821,0.023259,-1.016737
9,0.090000,-0.235822,0.023311,-1.016698
10,0.100000,-0.235813,0.023291,-1.016724
11,0.110000,-0.235820,0.023290,-1.016716
12,0.120000,-0.235843,0.023235,-1.016764
13,0.130000,-0.235843,0.023209,-1.016846
14,0.140000,-0.235835,0.023271,-1.016753
15,0.150000,-0.235816,0.023303,-1.016709
16,0.160000,-0.235832,0.023259,-1.016741
17,0.170000,-0.235812,0.023304,-1.016710
18,0.180000,-0.235823,0.023223,-1.016768
19,0.190000,-0.235821,0.023296,-1.016720
20,0.200000,-0.235822,0.023287,-1.016724
21,0.210000,-0.235820,0.023314,-1.016703
22,0.220000,-0.235815,0.023320,-1.016706
23,0.230000,-0.235829,0.023263,-1.016741
24,0.240000,-0.235853,0.023283,-1.016743
25,0.250000,-0.235832,0.023261,-1.016751
26,0.260000,-0.235866,0.023204,-1.016833
27,0.270000,-0.235826,0.023321,-1.016682
28,0.280000,-0.235836,0.023236,-1.016753
29,0.290000,-0.235816,0.023292,-1.016695
30,0.300000,-0.235816,0.023290,-1.016732
31,0.310000,-0.235838,0.023275,-1.016753
32,0.320000,-0.235828,0.023251,-1.016789
33,0.330000,-0.235823,0.023308,-1.016702
34,0.340000,-0.235831,0.023264,-1.016746
35,0.350000,-0.235830,0.023220,-1.016808
36,0.360000,-0.235837,0.023274,-1.016733
37,0.370000,-0.235814,0.023274,-1.016755
38,0.380000,-0.235815,0.023280,-1.016713
39,0.390000,-0.235819,0.023287,-1.016735
40,0.400000,-0.235804,0.023339,-1.016656
41,0.410000,-0.235837,0.023253,-1.016762
42,0.420000,-0.235835,0.023287,-1.016729
43,0.430000,-0.235811,0.023335,-1.016698
44,0.440000,-0.235823,0.023307,-1.016699
45,0.450000,-0.235844,0.023248,-1.016791
46,0.460000,-0.235822,0.023292,-1.016707
47,0.470000,-0.235819,0.023314,-1.016690
48,0.480000,-0.235835,0.023285,-1.016768
49,0.490000,-0.235824,0.023294,-1.016742
50,0.500000,-0.235821,0.023280,-1.016727
51,0.510000,-0.235844,0.023243,-1.016775
52,0.520000,-0.235853,0.023253,-1.016761
53,0.530000,-0.235822,0.023275,-1.016740
54,0.540000,-0.235826,0.023273,-1.016746
55,0.550000,-0.235842,0.023290,-1.016753
56,0.560000,-0.235836,0.023224,-1.016771
57,0.570000,-0.235844,0.023249,-1.016752
58,0.580000,-0.235815,0.023281,-1.016681
59,0.590000,-0.235834,0.023273,-1.016712
60,0.600000,-0.235810,0.023295,-1.016723
61,0.610000,-0.235819,0.023260,-1.016754
62,0.620000,-0.235838,0.023275,-1.016740
63,0.630000,-0.235823,0.023284,-1.016746
64,0.640000,-0.235825,0.023278,-1.016730
65,0.650000,-0.235841,0.023244,-1.016759
66,0.660000,-0.235819,0.023325,-1.016719
67,0.670000,-0.235817,0.023295,-1.016726
68,0.680000,-0.235822,0.023249,-1.016759
69,0.690000,-0.235828,0.023266,-1.016726
70,0.700000,-0.235841,0.023237,-1.016806
71,0.710000,-0.235833,0.023233,-1.016779
72,0.720000,-0.235804,0.023298,-1.016696
73,0.730000,-0.235831,0.023257,-1.016748
74,0.740000,-0.235859,0.023238,-1.016756
75,0.750000,-0.235810,0.023322,-1.016685
76,0.760000,-0.235814,0.023279,-1.016719
77,0.770000,-0.235844,0.023211,-1.016819
78,0.780000,-0.235813,0.023289,-1.016709
79,0.790000,-0.235855,0.023233,-1.016780
80,0.800000,-0.235814,0.023298,-1.016719
81,0.810000,-0.235812,0.023314,-1.016690
82,0.820000,-0.235838,0.023247,-1.016749
83,0.830000,-0.235813,0.023293,-1.016706
84,0.840000,-0.235809,0.023299,-1.016685
85,0.850000,-0.235804,0.023320,-1.016676
86,0.860000,-0.235844,0.023236,-1.016752
87,0.870000,-0.235839,0.023270,-1.016756
88,0.880000,-0.235851,0.023216,-1.016801
89,0.890000,-0.235824,0.023263,-1.016762
90,0.900000,-0.235780,0.023401,-1.016572
91,0.910000,-0.235836,0.023240,-1.016778
92,0.920000,-0.235838,0.023207,-1.016811
93,0.930000,-0.235801,0.023302,-1.016690
94,0.940000,-0.235790,0.023406,-1.016594
95,0.950000,-0.235800,0.023346,-1.016637
96,0.960000,-0.235812,0.023265,-1.016718
97,0.970000,-0.235840,0.023233,-1.016762
98,0.980000,-0.235820,0.023242,-1.016750
99,0.990000,-0.235797,0.023345,-1.016651
100,1.000000,-0.235822,0.023249,-1.016740
101,1.010000,-0.235846,0.023206,-1.016809
102,1.020000,-0.235830,0.023233,-1.016768
103,1.030000,-0.235831,0.023241,-1.016733
104,1.040000,-0.235841,0.023203,-1.016823
105,1.050000,-0.235852,0.023198,-1.016813
106,1.060000,-0.235808,0.023267,-1.016715
107,1.070000,-0.235842,0.023238,-1.016747
108,1.080000,-0.235846,0.023193,-1.016792
109,1.090000,-0.235778,0.023383,-1.016581
110,1.100000,-0.235835,0.023226,-1.016774
111,1.110000,-0.235822,0.023256,-1.016776
112,1.120000,-0.235823,0.023300,-1.016712
113,1.130000,-0.235838,0.023226,-1.016767
114,1.140000,-0.235826,0.023314,-1.016692
115,1.150000,-0.235834,0.023244,-1.016744
116,1.160000,-0.235811,0.023295,-1.016711
117,1.170000,-0.235831,0.023275,-1.016714
118,1.180000,-0.235827,0.023240,-1.016748
119,1.190000,-0.235826,0.023249,-1.016742
120,1.200000,-0.235809,0.023310,-1.016690
121,1.210000,-0.235814,0.023255,-1.016724
122,1.220000,-0.235821,0.023295,-1.016681
123,1.230000,-0.235792,0.023316,-1.016676
124,1.240000,-0.235814,0.023264,-1.016726
125,1.250000,-0.235826,0.023245,-1.016726
126,1.260000,-0.235841,0.023198,-1.016793
127,1.270000,-0.235818,0.023294,-1.016708
128,1.280000,-0.235825,0.023228,-1.016755
129,1.290000,-0.235847,0.023195,-1.016803
130,1.300000,-0.235830,0.023201,-1.016799
131,1.310000,-0.235817,0.023272,-1.016748
132,1.320000,-0.235820,0.023268,-1.016732
133,1.330000,-0.235827,0.023219,-1.016764
134,1.340000,-0.235801,0.023325,-1.016681
135,1.350000,-0.235839,0.023268,-1.016747
136,1.360000,-0.235818,0.023219,-1.016759
137,1.370000,-0.235841,0.023197,-1.016818
138,1.380000,-0.235801,0.023282,-1.016690
139,1.390000,-0.235831,0.023265,-1.016731
140,1.400000,-0.235846,0.023212,-1.016799
141,1.410000,-0.235824,0.023214,-1.016797
142,1.420000,-0.235841,0.023187,-1.016827
143,1.430000,-0.235814,0.023255,-1.016745
144,1.440000,-0.235852,0.023224,-1.016811
145,1.450000,-0.235839,0.023218,-1.016797
146,1.460000,-0.235829,0.023282,-1.016737
147,1.470000,-0.235842,0.023242,-1.016777
148,1.480000,-0.235850,0.023271,-1.016793
149,1.490000,-0.235852,0.023198,-1.016829
150,1.500000,-0.235856,0.023266,-1.016782
151,1.510000,-0.235856,0.023218,-1.016839
152,1.520000,-0.235810,0.023323,-1.016729
153,1.530000,-0.235773,0.023404,-1.016632
154,1.540000,-0.235808,0.023321,-1.016719
155,1.550000,-0.235796,0.023336,-1.016653
156,1.560000,-0.235818,0.023243,-1.016756
157,1.570000,-0.235844,0.023180,-1.016804
158,1.580000,-0.235868,0.023184,-1.016805
159,1.590000,-0.235828,0.023201,-1.016786
160,1.600000,-0.235834,0.023191,-1.016790
161,1.610000,-0.235807,0.023252,-1.016687
162,1.620000,-0.235786,0.023382,-1.016581
163,1.630000,-0.235809,0.023236,-1.016736
164,1.640000,-0.235815,0.023288,-1.016703
165,1.650000,-0.235856,0.023204,-1.016791
166,1.660000,-0.235842,0.023196,-1.016808
167,1.670000,-0.235828,0.023236,-1.016783
168,1.680000,-0.235821,0.023330,-1.016675
169,1.690000,-0.235794,0.023350,-1.016650
170,1.700000,-0.235787,0.023348,-1.016660
171,1.710000,-0.235812,0.023314,-1.016683
172,1.720000,-0.235844,0.023209,-1.016809
173,1.730000,-0.235836,0.023255,-1.016766
174,1.740000,-0.235873,0.023174,-1.016868
175,1.750000,-0.235820,0.023273,-1.016744
176,1.760000,-0.235843,0.023222,-1.016773
177,1.770000,-0.235837,0.023267,-1.016739
178,1.780000,-0.235867,0.023149,-1.016874
179,1.790000,-0.235870,0.023138,-1.016868
180,1.800000,-0.235835,0.023251,-1.016754
181,1.810000,-0.235824,0.023262,-1.016727
182,1.820000,-0.235819,0.023280,-1.016748
183,1.830000,-0.235804,0.023302,-1.016702
184,1.840000,-0.235807,0.023266,-1.016773
185,1.850000,-0.235825,0.023243,-1.016800
186,1.860000,-0.235828,0.023254,-1.016735
187,1.870000,-0.235834,0.023282,-1.016756
188,1.880000,-0.235813,0.023258,-1.016732
189,1.890000,-0.235816,0.023304,-1.016708
190,1.900000,-0.235805,0.023320,-1.016683
191,1.910000,-0.235838,0.023196,-1.016803
192,1.920000,-0.235822,0.023273,-1.016713
193,1.930000,-0.235836,0.023175,-1.016807
194,1.940000,-0.235848,0.023203,-1.016821
195,1.950000,-0.235859,0.023181,-1.016866
196,1.960000,-0.235821,0.023286,-1.016743
197,1.970000,-0.235818,0.023317,-1.016711
198,1.980000,-0.235792,0.023334,-1.016673
199,1.990000,-0.235792,0.023338,-1.016675
200,2.000000,-0.235786,0.023359,-1.016638
201,2.010000,-0.235767,0.023382,-1.016621
