Test Fly: hl_mc_fly_line, height at 1.5meter
Date:  2024-01-09
logging-rate: 10
-0.9403629899024963 -0.42206594347953796 -0.17446617782115936
-0.9386076331138611 -0.4197685122489929 -0.1702778935432434
-0.9427074790000916 -0.41855862736701965 -0.1720888316631317
-0.9440172910690308 -0.42023417353630066 -0.17077124118804932
-0.944557249546051 -0.42441320419311523 -0.17520858347415924
-0.9428205490112305 -0.42199912667274475 -0.170968696475029
-0.9446879029273987 -0.424137681722641 -0.1741928905248642
-0.9427666664123535 -0.421236515045166 -0.17049343883991241
-0.9451745748519897 -0.423113614320755 -0.17399686574935913
-0.9464494585990906 -0.4243711233139038 -0.1738515943288803
-0.9493343234062195 -0.4259641468524933 -0.17730024456977844
-0.95177161693573 -0.4261046051979065 -0.17924802005290985
-0.9533941745758057 -0.4280714690685272 -0.1807929128408432
-0.9522739052772522 -0.4234945476055145 -0.17989255487918854
-0.9532269239425659 -0.42596492171287537 -0.181656613945961
-0.9510354399681091 -0.4224793612957001 -0.1784379631280899
-0.9518635869026184 -0.422964483499527 -0.18034802377223969
-0.949688196182251 -0.419413685798645 -0.17759524285793304
-0.9524757266044617 -0.41959208250045776 -0.17903898656368256
-0.9507798552513123 -0.41698214411735535 -0.17474070191383362
-0.9528795480728149 -0.4172825217247009 -0.1761157363653183
-0.9562845826148987 -0.41931748390197754 -0.17506875097751617
-0.9548165798187256 -0.4230162799358368 -0.17607946693897247
-0.9547613263130188 -0.42157989740371704 -0.17602282762527466
-0.9581130743026733 -0.4267263412475586 -0.17814594507217407
-0.9558522701263428 -0.4217521846294403 -0.17482459545135498
-0.9585532546043396 -0.42341259121894836 -0.17384231090545654
-0.9539927840232849 -0.41739797592163086 -0.17082837224006653
-0.9576866626739502 -0.42351004481315613 -0.17086464166641235
-0.954594075679779 -0.41742879152297974 -0.16871193051338196
-0.9551851153373718 -0.4212379455566406 -0.1702740490436554
-0.9560578465461731 -0.41951823234558105 -0.17176447808742523
-0.9560685157775879 -0.4242551624774933 -0.1718420386314392
-0.9518464207649231 -0.42117226123809814 -0.1697380542755127
-0.953171968460083 -0.42531296610832214 -0.17007765173912048
-0.9483849406242371 -0.4215278625488281 -0.16858507692813873
-0.95286625623703 -0.42458176612854004 -0.169352188706398
-0.9503511190414429 -0.426843523979187 -0.16981230676174164
-0.9531493186950684 -0.427632212638855 -0.17005494236946106
-0.9571747779846191 -0.4240444004535675 -0.17207638919353485
-0.956271767616272 -0.4228433668613434 -0.1670704185962677
-0.9579924941062927 -0.422046035528183 -0.16908128559589386
-0.9558010101318359 -0.4214789867401123 -0.16589339077472687
-0.9567650556564331 -0.4208851754665375 -0.16747406125068665
-0.9540731906890869 -0.42028293013572693 -0.16479311883449554
-0.9553477764129639 -0.41952478885650635 -0.16551268100738525
-0.9514461755752563 -0.4179249405860901 -0.16202497482299805
-0.9532702565193176 -0.41740790009498596 -0.16335363686084747
-0.9519323110580444 -0.4163838028907776 -0.16007669270038605
-0.9505627751350403 -0.41790878772735596 -0.16223864257335663
-0.9518340229988098 -0.4192901849746704 -0.16094616055488586
-0.9541532397270203 -0.4204663336277008 -0.1630677580833435
-0.9516904354095459 -0.41664206981658936 -0.1604452282190323
-0.9549449682235718 -0.4173490107059479 -0.16271160542964935
-0.9518065452575684 -0.41292768716812134 -0.1583673506975174
-0.9519568085670471 -0.4142548441886902 -0.15943893790245056
-0.9491035342216492 -0.4080643355846405 -0.15668611228466034
-0.9531040787696838 -0.4067337214946747 -0.15542030334472656
-0.9533798098564148 -0.40697115659713745 -0.15588101744651794
-0.9522596597671509 -0.4051295816898346 -0.15150296688079834
-0.9535158276557922 -0.40513327717781067 -0.15327803790569305
-0.9545074701309204 -0.4087446928024292 -0.15397465229034424
-0.9570758938789368 -0.411558598279953 -0.15777556598186493
-0.9531142711639404 -0.4067257046699524 -0.15263067185878754
-0.9550176858901978 -0.40811699628829956 -0.15480518341064453
-0.9564809203147888 -0.40903154015541077 -0.15493226051330566
-0.9570876359939575 -0.41081440448760986 -0.15537284314632416
-0.9551934003829956 -0.4078825116157532 -0.15146850049495697
-0.9586395025253296 -0.4065662622451782 -0.1527227908372879
-0.9603281617164612 -0.4082488417625427 -0.1512683928012848
-0.9613368511199951 -0.4119430184364319 -0.15469543635845184
-0.9597213864326477 -0.4091596305370331 -0.15068243443965912
-0.9605923295021057 -0.4123494029045105 -0.15211796760559082
-0.9581315517425537 -0.4087425172328949 -0.14786116778850555
-0.9602877497673035 -0.412868857383728 -0.14894479513168335
-0.9597896933555603 -0.4121568202972412 -0.14826783537864685
-0.9596242904663086 -0.4205552041530609 -0.1519496738910675
-0.9600733518600464 -0.41848546266555786 -0.15347129106521606
-0.9640883207321167 -0.42248934507369995 -0.15556956827640533
-0.9609321355819702 -0.4165310263633728 -0.15222536027431488
-0.9636424779891968 -0.4225861430168152 -0.15456578135490417
-0.9601532220840454 -0.415976345539093 -0.15165607631206512
-0.961651623249054 -0.4238399565219879 -0.15440866351127625
-0.9588407874107361 -0.4182335436344147 -0.15110023319721222
-0.9586501717567444 -0.425078421831131 -0.15288138389587402
-0.9542191028594971 -0.41948676109313965 -0.14974188804626465
-0.9549118876457214 -0.42522695660591125 -0.15185445547103882
-0.9500110149383545 -0.42293670773506165 -0.1482142060995102
-0.9523764848709106 -0.425778329372406 -0.14695830643177032
-0.9519718885421753 -0.4256367087364197 -0.14874739944934845
-0.9532455801963806 -0.4305940568447113 -0.1511959433555603
-0.94869065284729 -0.426969051361084 -0.14918239414691925
-0.9490330815315247 -0.42446818947792053 -0.14491452276706696
-0.9492658972740173 -0.42242440581321716 -0.14627432823181152
-0.9459569454193115 -0.42321279644966125 -0.1447872370481491
-0.948553740978241 -0.4202318787574768 -0.14664305746555328
-0.947737991809845 -0.41917693614959717 -0.14165551960468292
-0.9468860626220703 -0.4193807542324066 -0.1433364599943161
-0.944740355014801 -0.41939523816108704 -0.14146533608436584
-0.9466914534568787 -0.4170165956020355 -0.14328555762767792
-0.9413579106330872 -0.4154810905456543 -0.1411062777042389
-0.9433720707893372 -0.41756027936935425 -0.14469753205776215
-0.9407840967178345 -0.41431981325149536 -0.13995897769927979
-0.9436002969741821 -0.41427481174468994 -0.14093303680419922
-0.9447416663169861 -0.4155355393886566 -0.14002227783203125
-0.9444378018379211 -0.4172852337360382 -0.14108216762542725
-0.9434929490089417 -0.4161265194416046 -0.14120647311210632
-0.944781482219696 -0.41606810688972473 -0.14114023745059967
-0.9422662854194641 -0.41297978162765503 -0.1359023004770279
-0.9409441351890564 -0.41588449478149414 -0.13702324032783508
-0.9368047714233398 -0.4116505980491638 -0.13152392208576202
-0.9370455741882324 -0.4142765700817108 -0.13329990208148956
-0.9341506958007812 -0.4089279770851135 -0.12965774536132812
-0.9395015239715576 -0.410915344953537 -0.13197238743305206
-0.9378078579902649 -0.41127148270606995 -0.13190430402755737
-0.9432955980300903 -0.4134403467178345 -0.1336527168750763
-0.9423805475234985 -0.412955105304718 -0.1350119560956955
-0.9486238956451416 -0.4141154885292053 -0.1365933120250702
-0.9466001987457275 -0.4068279564380646 -0.13321296870708466
-0.9445381760597229 -0.40633997321128845 -0.13093262910842896
-0.9458472728729248 -0.4052364230155945 -0.13141164183616638
-0.9475049376487732 -0.4085742235183716 -0.13186192512512207
-0.9513617157936096 -0.4067114293575287 -0.13327834010124207
-0.9494296908378601 -0.4035158157348633 -0.1303132325410843
-0.9521579742431641 -0.40203019976615906 -0.13128216564655304
-0.9513654708862305 -0.4047580659389496 -0.13355642557144165
-0.9488022923469543 -0.4073982238769531 -0.13504108786582947
-0.9481691122055054 -0.4062292277812958 -0.13487286865711212
-0.9521780014038086 -0.4066430330276489 -0.1375085860490799
-0.9486469626426697 -0.4022790789604187 -0.13236470520496368
-0.9518933892250061 -0.40331435203552246 -0.13547901809215546
-0.9488962292671204 -0.3988528549671173 -0.13193508982658386
-0.9516351819038391 -0.4018387794494629 -0.13419382274150848
-0.9485680460929871 -0.3953733742237091 -0.1304183453321457
-0.9491497874259949 -0.3963855803012848 -0.1302862912416458
-0.9459340572357178 -0.38992467522621155 -0.12794429063796997
-0.9440895318984985 -0.3939095139503479 -0.1293354630470276
-0.9389685392379761 -0.3909645676612854 -0.12486439198255539
-0.9453657269477844 -0.390488862991333 -0.12454379349946976
-0.939138650894165 -0.3865508437156677 -0.12116169184446335
-0.9468691945075989 -0.3874138295650482 -0.11999936401844025
-0.943320095539093 -0.38278454542160034 -0.11741644889116287
-0.9478000402450562 -0.3804813623428345 -0.11620046943426132
-0.9488072991371155 -0.37870487570762634 -0.11672750860452652
-0.9499053955078125 -0.3832990229129791 -0.11823573708534241
-0.9502323865890503 -0.38288065791130066 -0.11908158659934998
-0.9460119009017944 -0.3807913064956665 -0.11593149602413177
-0.9454063177108765 -0.38100600242614746 -0.11654651910066605
-0.9483019709587097 -0.3839535713195801 -0.11356533318758011
-0.952347457408905 -0.38097652792930603 -0.11264454573392868
-0.9504309892654419 -0.37777790427207947 -0.10673398524522781
-0.9605076909065247 -0.3757638931274414 -0.10580490529537201
-0.9605539441108704 -0.3751847743988037 -0.10389097779989243
-0.962534487247467 -0.37577125430107117 -0.10326141864061356
-0.9591068029403687 -0.36958152055740356 -0.09747574478387833
-0.9603622555732727 -0.37598466873168945 -0.09593343734741211
-0.9614304304122925 -0.37471216917037964 -0.09448797255754471
-0.9615328907966614 -0.37834545969963074 -0.09250660240650177
-0.9580116868019104 -0.37333863973617554 -0.08658672869205475
-0.9566965103149414 -0.3752310276031494 -0.0841958075761795
-0.9558627009391785 -0.3737335503101349 -0.0812455490231514
-0.9568206667900085 -0.373136967420578 -0.07800743728876114
-0.9526048898696899 -0.36859169602394104 -0.07095765322446823
-0.9524014592170715 -0.36790814995765686 -0.06825646013021469
-0.9521515369415283 -0.36733901500701904 -0.06429455429315567
-0.9465698003768921 -0.3683569133281708 -0.058837153017520905
-0.9462572932243347 -0.3653995394706726 -0.05568624287843704
-0.9404820203781128 -0.37101009488105774 -0.051481589674949646
-0.9362547993659973 -0.3641902804374695 -0.04351473227143288
-0.930471658706665 -0.3632834553718567 -0.04040643945336342
-0.9196752309799194 -0.3742339313030243 -0.03469720855355263
-0.9179675579071045 -0.3758811056613922 -0.03233914449810982
-0.9119542837142944 -0.3763918876647949 -0.028196081519126892
-0.9034079313278198 -0.3678337633609772 -0.020970439538359642
-0.9043098092079163 -0.36878618597984314 -0.01812383346259594
-0.8973803520202637 -0.3627372682094574 -0.01013271789997816
-0.8940736055374146 -0.3689199686050415 -0.006037767510861158
-0.8883837461471558 -0.360293447971344 -0.007683515548706055
-0.8862166404724121 -0.364412397146225 -0.003347546560689807
-0.8866887092590332 -0.3607119619846344 -0.0020400453358888626
-0.8769780993461609 -0.3638482987880707 0.00478503480553627
-0.8798313736915588 -0.3617986738681793 0.007781110238283873
-0.8763063549995422 -0.36899346113204956 0.011645615100860596
-0.8757599592208862 -0.3675263524055481 0.023437825962901115
-0.8698750734329224 -0.36754080653190613 0.025932902470231056
-0.8694698214530945 -0.36635297536849976 0.03447830677032471
-0.8596151471138 -0.37000328302383423 0.03795003145933151
-0.8582072257995605 -0.36595776677131653 0.04659946262836456
-0.848335862159729 -0.3783460855484009 0.05211719125509262
-0.8433871269226074 -0.37304574251174927 0.06401442736387253
-0.8336479663848877 -0.3799726963043213 0.06833875179290771
-0.8362628221511841 -0.3809068500995636 0.07288265973329544
-0.8337782025337219 -0.38048121333122253 0.08230753242969513
-0.8330731391906738 -0.381689190864563 0.09042765945196152
-0.8375978469848633 -0.382436066865921 0.09598300606012344
-0.8298887014389038 -0.38753461837768555 0.09991976618766785
-0.8305552005767822 -0.37831249833106995 0.10287356376647949
-0.8234513401985168 -0.3844785988330841 0.10721011459827423
-0.8303265571594238 -0.37123358249664307 0.11357922106981277
-0.8232561349868774 -0.37845805287361145 0.11763910204172134
-0.8228791356086731 -0.3795590102672577 0.12785397469997406
-0.8168879747390747 -0.3807806670665741 0.13482119143009186
-0.8227545619010925 -0.38083162903785706 0.1393924206495285
-0.8191514611244202 -0.38602113723754883 0.14324937760829926
-0.8287714719772339 -0.37930572032928467 0.145788311958313
-0.8243967294692993 -0.3845048248767853 0.14661850035190582
-0.8306283950805664 -0.38324496150016785 0.14761623740196228
-0.8288626074790955 -0.3768587112426758 0.16038590669631958
-0.833638608455658 -0.3757784962654114 0.16485396027565002
-0.8296513557434082 -0.3774969279766083 0.170688658952713
-0.828371524810791 -0.3791320025920868 0.17778116464614868
-0.8240312337875366 -0.3843144178390503 0.18265877664089203
-0.8271710276603699 -0.3820388615131378 0.1840079128742218
-0.8195282220840454 -0.3852335214614868 0.18646149337291718
-0.8217610716819763 -0.3850390613079071 0.1907227635383606
-0.8169448375701904 -0.3786924183368683 0.20106178522109985
-0.814341127872467 -0.3843764066696167 0.20388366281986237
-0.8102243542671204 -0.3786897659301758 0.21329380571842194
-0.8047076463699341 -0.38735508918762207 0.21466317772865295
-0.8093031048774719 -0.3788900375366211 0.21677041053771973
-0.8053717017173767 -0.38938385248184204 0.2188815325498581
-0.812594473361969 -0.3854061961174011 0.22006413340568542
-0.8142359256744385 -0.38794150948524475 0.22957326471805573
-0.8136178255081177 -0.38603338599205017 0.23832306265830994
-0.8127947449684143 -0.3951532542705536 0.2413594126701355
-0.8173679113388062 -0.3940832316875458 0.24634505808353424
-0.8152915835380554 -0.40352773666381836 0.24790184199810028
-0.8226034045219421 -0.3999742269515991 0.24920041859149933
-0.8182917237281799 -0.4055226147174835 0.2514429986476898
-0.8234151601791382 -0.40407031774520874 0.2540287673473358
-0.8201326131820679 -0.4098067879676819 0.2587480843067169
-0.8199134469032288 -0.41945165395736694 0.2611567974090576
-0.8213918805122375 -0.4197390377521515 0.26852646470069885
-0.8202280402183533 -0.42659813165664673 0.27022746205329895
-0.8207041025161743 -0.4256761074066162 0.2773872911930084
-0.8177218437194824 -0.4331315755844116 0.27671560645103455
-0.8194962739944458 -0.4337286651134491 0.2845132648944855
-0.8197953701019287 -0.4385955333709717 0.28330355882644653
-0.8249347805976868 -0.44366174936294556 0.2896571755409241
-0.8253777027130127 -0.44840773940086365 0.28949683904647827
-0.8269250392913818 -0.4483264982700348 0.29669928550720215
-0.8291271924972534 -0.451484352350235 0.2958592474460602
-0.8331444263458252 -0.4564521908760071 0.3017059862613678
-0.833040177822113 -0.4647151529788971 0.3075007200241089
-0.8356553912162781 -0.46575599908828735 0.315581738948822
-0.8338448405265808 -0.4757716655731201 0.3145446181297302
-0.8374268412590027 -0.4773237109184265 0.31873005628585815
-0.8355950713157654 -0.48270276188850403 0.32322317361831665
-0.8390873074531555 -0.48459479212760925 0.3274585008621216
-0.837321400642395 -0.48894116282463074 0.3332056403160095
-0.8433349132537842 -0.4907582998275757 0.3375939130783081
-0.846996545791626 -0.5009757280349731 0.34138223528862
-0.849178671836853 -0.5041510462760925 0.3413141965866089
-0.8511976003646851 -0.5052036643028259 0.3527425229549408
-0.8488922715187073 -0.512783408164978 0.35414209961891174
-0.850030779838562 -0.5142210721969604 0.3600311279296875
-0.8500690460205078 -0.5211226344108582 0.36084166169166565
-0.8492714166641235 -0.5207075476646423 0.3693262040615082
-0.8493157625198364 -0.5269016623497009 0.37062782049179077
-0.8499006032943726 -0.5249438285827637 0.3782291114330292
-0.8467882871627808 -0.529018223285675 0.38382524251937866
-0.8498198390007019 -0.5321266055107117 0.3898901641368866
-0.8498165011405945 -0.5308400988578796 0.40199795365333557
-0.8516178727149963 -0.5324724316596985 0.40747615694999695
-0.8488823175430298 -0.536387026309967 0.41335439682006836
-0.8507211804389954 -0.5379347205162048 0.4188379943370819
-0.8479330539703369 -0.5406397581100464 0.4249172508716583
-0.8511483669281006 -0.5411031246185303 0.43038520216941833
-0.850624144077301 -0.5468932390213013 0.4326529800891876
-0.8532829284667969 -0.5475702285766602 0.43825507164001465
-0.8515191078186035 -0.5431528687477112 0.44796475768089294
-0.8538522720336914 -0.5419600009918213 0.45351293683052063
-0.8541162014007568 -0.5488349795341492 0.45763054490089417
-0.857090175151825 -0.5469599366188049 0.4632754921913147
-0.8588276505470276 -0.5473157167434692 0.47085973620414734
-0.8604838252067566 -0.5438126921653748 0.47674739360809326
-0.8631880283355713 -0.54749995470047 0.4852951467037201
-0.867257833480835 -0.541416347026825 0.4896198809146881
-0.8641366362571716 -0.5431771874427795 0.4960179626941681
-0.8631580471992493 -0.5434480905532837 0.5032641887664795
-0.8617955446243286 -0.5389623641967773 0.5128633975982666
-0.8616024255752563 -0.5328763127326965 0.5187137126922607
-0.860650360584259 -0.5287424325942993 0.5282440185546875
-0.8626866340637207 -0.5212493538856506 0.5332320332527161
-0.8622276782989502 -0.5174541473388672 0.5424282550811768
-0.8642047643661499 -0.511173665523529 0.5479096174240112
-0.8612170219421387 -0.5070099234580994 0.556776225566864
-0.8619714379310608 -0.4997293949127197 0.5620384216308594
-0.8633744716644287 -0.4989663362503052 0.5674512982368469
-0.8628869652748108 -0.497882604598999 0.5751089453697205
-0.8620132803916931 -0.489003449678421 0.5828628540039062
