Test Fly: hl_mc_fly_line, height at 0.5meter
Date:  2024-01-09
logging-rate: 10
-0.7212004661560059 -0.39165422320365906 -0.2602814733982086
-0.7255775332450867 -0.39325836300849915 -0.2610054314136505
-0.7215858697891235 -0.38890737295150757 -0.2576695382595062
-0.7295528650283813 -0.3881737291812897 -0.26144635677337646
-0.7249544858932495 -0.3832519054412842 -0.2577778697013855
-0.7306452393531799 -0.38020598888397217 -0.2565951943397522
-0.7258844971656799 -0.3740622401237488 -0.2532535493373871
-0.7249715328216553 -0.37722650170326233 -0.2544007897377014
-0.7216452956199646 -0.3831445574760437 -0.2522633671760559
-0.7243109345436096 -0.386831670999527 -0.25415271520614624
-0.7202207446098328 -0.37719497084617615 -0.2509048879146576
-0.7300230860710144 -0.3752060830593109 -0.25355133414268494
-0.7197436690330505 -0.37114983797073364 -0.24787093698978424
-0.7281923890113831 -0.37294381856918335 -0.25141847133636475
-0.7232281565666199 -0.3667677640914917 -0.24776886403560638
-0.7331635355949402 -0.3671976923942566 -0.2503848671913147
-0.7369899153709412 -0.3498722016811371 -0.24794137477874756
-0.7302349209785461 -0.35170966386795044 -0.24747882783412933
-0.7349714636802673 -0.3471924662590027 -0.24589501321315765
-0.7294581532478333 -0.3386494219303131 -0.24395352602005005
-0.7354879379272461 -0.3354828655719757 -0.24276217818260193
-0.7305583953857422 -0.33926284313201904 -0.2403811365365982
-0.7305749654769897 -0.340613454580307 -0.24040819704532623
-0.7248221039772034 -0.34280019998550415 -0.23946164548397064
-0.7213297486305237 -0.3459709584712982 -0.23706939816474915
-0.7203764915466309 -0.3566770553588867 -0.23865902423858643
-0.7256139516830444 -0.35376405715942383 -0.23725157976150513
-0.7278454303741455 -0.35763245820999146 -0.2357458919286728
-0.7315287590026855 -0.35492587089538574 -0.2341577261686325
-0.7255424857139587 -0.35535722970962524 -0.2334413081407547
-0.7312474846839905 -0.3508484661579132 -0.23217831552028656
-0.7285230159759521 -0.36019718647003174 -0.23542271554470062
-0.7222872972488403 -0.3681882917881012 -0.23450034856796265
-0.7186017036437988 -0.3628459870815277 -0.2307252585887909
-0.7280938625335693 -0.3560056984424591 -0.2319076657295227
-0.7217919826507568 -0.3536710739135742 -0.22627392411231995
-0.7301338315010071 -0.35327771306037903 -0.22956965863704681
-0.7263983488082886 -0.3572830855846405 -0.22699253261089325
-0.7245203852653503 -0.3650086522102356 -0.23049917817115784
-0.7169389724731445 -0.3605920970439911 -0.22660134732723236
-0.7161853313446045 -0.369373083114624 -0.2298521101474762
-0.7138175368309021 -0.37098249793052673 -0.22808021306991577
-0.7235761880874634 -0.36626172065734863 -0.22964191436767578
-0.7239088416099548 -0.35410642623901367 -0.22482125461101532
-0.7180914282798767 -0.35710468888282776 -0.22616411745548248
-0.7154929637908936 -0.35920870304107666 -0.22333119809627533
-0.7098836898803711 -0.36307159066200256 -0.22380468249320984
-0.7144811153411865 -0.36556848883628845 -0.2292276918888092
-0.7154085636138916 -0.3669918179512024 -0.22979594767093658
-0.7135432958602905 -0.37522220611572266 -0.2339291274547577
-0.709926426410675 -0.3700273931026459 -0.23038317263126373
-0.7193417549133301 -0.3612990379333496 -0.23171661794185638
-0.7164039015769958 -0.35717350244522095 -0.22773250937461853
-0.7119051814079285 -0.3648335933685303 -0.22841043770313263
-0.7104789614677429 -0.3703703284263611 -0.22585225105285645
-0.7114987969398499 -0.37305498123168945 -0.2275885045528412
-0.704325258731842 -0.36860641837120056 -0.22311805188655853
-0.7053459882736206 -0.3715827167034149 -0.2267003357410431
-0.698430061340332 -0.3691910207271576 -0.221013143658638
-0.7088384032249451 -0.3642309904098511 -0.22240178287029266
-0.7058866024017334 -0.36788877844810486 -0.2198016494512558
-0.6993983387947083 -0.3694671094417572 -0.21968740224838257
-0.6974853873252869 -0.3710113763809204 -0.21728745102882385
-0.7029836177825928 -0.3607383966445923 -0.21432843804359436
-0.7016656398773193 -0.36208605766296387 -0.21194691956043243
-0.6959488391876221 -0.3673112094402313 -0.2133815884590149
-0.700549840927124 -0.36455661058425903 -0.2116081267595291
-0.6997799873352051 -0.37473952770233154 -0.21494631469249725
-0.7017242312431335 -0.3793339133262634 -0.21859216690063477
-0.6996806263923645 -0.37673264741897583 -0.21467621624469757
-0.7056232690811157 -0.37593814730644226 -0.21944871544837952
-0.7029573917388916 -0.37184011936187744 -0.21683241426944733
-0.6990097761154175 -0.3824232220649719 -0.22211679816246033
-0.6949246525764465 -0.3772655725479126 -0.21871355175971985
-0.6966412663459778 -0.3819311261177063 -0.2221066951751709
-0.6971849203109741 -0.3833191692829132 -0.22259561717510223
-0.7006425857543945 -0.3848554790019989 -0.22534911334514618
-0.7020742297172546 -0.3877396881580353 -0.2252015769481659
-0.7047981023788452 -0.38977301120758057 -0.2272079586982727
-0.702031672000885 -0.38535383343696594 -0.22518952190876007
-0.7052608132362366 -0.38622620701789856 -0.226777121424675
-0.702343761920929 -0.38197067379951477 -0.22347602248191833
-0.7061935067176819 -0.3832670748233795 -0.22626391053199768
-0.7059375643730164 -0.38374900817871094 -0.22620631754398346
-0.7121634483337402 -0.3846952021121979 -0.23053701221942902
-0.7087176442146301 -0.3804202973842621 -0.22630643844604492
-0.7139288187026978 -0.383970707654953 -0.23202328383922577
-0.7095568776130676 -0.377645879983902 -0.22827130556106567
-0.7149078845977783 -0.3794005811214447 -0.23321351408958435
-0.7114859819412231 -0.37467339634895325 -0.23021993041038513
-0.718278706073761 -0.3734569251537323 -0.2324472814798355
-0.7143515348434448 -0.3691680133342743 -0.22537270188331604
-0.7128455638885498 -0.37568333745002747 -0.2291986644268036
-0.7071853280067444 -0.37338653206825256 -0.2235984206199646
-0.7141287326812744 -0.37343546748161316 -0.22692248225212097
-0.7121689915657043 -0.3768094778060913 -0.22453348338603973
-0.7108269929885864 -0.3849714994430542 -0.22822287678718567
-0.7052747011184692 -0.38267651200294495 -0.2226753681898117
-0.7044816017150879 -0.3894263505935669 -0.22626523673534393
-0.7016039490699768 -0.3919709622859955 -0.22479863464832306
-0.7082146406173706 -0.39091819524765015 -0.22764798998832703
-0.7023926973342896 -0.38767704367637634 -0.22309184074401855
-0.7085473537445068 -0.38823747634887695 -0.22758157551288605
-0.7057279348373413 -0.391745388507843 -0.22480101883411407
-0.7096185684204102 -0.3915244936943054 -0.22843359410762787
-0.7060348391532898 -0.38652050495147705 -0.22466367483139038
-0.7074143886566162 -0.37840744853019714 -0.22380276024341583
-0.7110130786895752 -0.37704721093177795 -0.22181783616542816
-0.70684415102005 -0.37762969732284546 -0.21982936561107635
-0.7139481902122498 -0.369447261095047 -0.22100144624710083
-0.7099349498748779 -0.3709131181240082 -0.22008629143238068
-0.7129393815994263 -0.3690320551395416 -0.21831980347633362
-0.7088252902030945 -0.3696366846561432 -0.2187236100435257
-0.7069900035858154 -0.3725895881652832 -0.21621665358543396
-0.7065118551254272 -0.37702757120132446 -0.21791402995586395
-0.7084705829620361 -0.3795942962169647 -0.22114291787147522
-0.7066477537155151 -0.37740960717201233 -0.21631258726119995
-0.7098827362060547 -0.37687036395072937 -0.2178044617176056
-0.7111599445343018 -0.37852370738983154 -0.21833498775959015
-0.7084818482398987 -0.3855620324611664 -0.22238348424434662
-0.7084627747535706 -0.38583773374557495 -0.22247008979320526
-0.7075238227844238 -0.3909377157688141 -0.2252933531999588
-0.7015232443809509 -0.3881668448448181 -0.21980659663677216
-0.7074238657951355 -0.3882864713668823 -0.2241588979959488
-0.7027191519737244 -0.3862167000770569 -0.21880127489566803
-0.7089617252349854 -0.38584187626838684 -0.22340136766433716
-0.7039430141448975 -0.38339531421661377 -0.21801084280014038
-0.7083969712257385 -0.38459932804107666 -0.22312740981578827
-0.7052768468856812 -0.38020437955856323 -0.21950015425682068
-0.7111358642578125 -0.38086962699890137 -0.22361893951892853
-0.7053139209747314 -0.37817642092704773 -0.21849046647548676
-0.7049031853675842 -0.38525184988975525 -0.2211921513080597
-0.699905276298523 -0.38306260108947754 -0.2159131020307541
-0.7052515745162964 -0.38448452949523926 -0.21961210668087006
-0.6997948288917542 -0.3823217451572418 -0.21357612311840057
-0.7056217193603516 -0.3826548755168915 -0.21768087148666382
-0.7009037733078003 -0.37927111983299255 -0.2123344987630844
-0.7073476314544678 -0.37550872564315796 -0.21271094679832458
-0.7027989029884338 -0.37340810894966125 -0.20749880373477936
-0.7033953666687012 -0.37720462679862976 -0.2086210697889328
-0.6978415846824646 -0.3757743835449219 -0.20225165784358978
-0.6987414360046387 -0.3799744248390198 -0.20261700451374054
-0.6962916851043701 -0.3750441372394562 -0.19871865212917328
-0.6970922350883484 -0.3790149390697479 -0.19960397481918335
-0.6944680213928223 -0.3750823438167572 -0.1954011470079422
-0.7018239498138428 -0.37244364619255066 -0.19677239656448364
-0.7130252718925476 -0.36388200521469116 -0.19785527884960175
-0.712342381477356 -0.3610214293003082 -0.19229082763195038
